duration,protocol,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,count,srv_count,serror_rate,rerror_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,same_srv_rate,label
749,udp,telnet,S0,7602,6157,1,3,2,0,0,1,25,21,0.85,0.78,0.99,154,10,0.3,warezclient
994,tcp,dns,REJ,9768,641,0,1,3,5,4,0,24,78,0.5,0.92,0.22,164,43,0.47,neptune
779,udp,ftp,RSTR,7236,5294,0,1,3,5,3,0,49,92,0.45,0.14,0.09,16,75,0.6,warezclient
465,tcp,dns,RSTR,7865,8250,1,2,1,3,4,1,42,99,0.51,0.18,0.57,112,171,0.48,neptune
463,icmp,ftp,SF,8441,4933,1,1,1,3,3,1,33,14,0.7,0.46,0.64,83,75,0.41,warezclient
278,icmp,http,RSTR,3733,2229,0,2,0,0,3,0,58,62,0.05,0.11,0.61,205,144,0.57,nmap
719,tcp,dns,SF,4184,5975,0,2,2,1,2,0,81,7,0.36,0.16,0.83,174,247,0.73,portsweep
924,tcp,telnet,SF,8841,5572,1,3,3,0,4,0,45,45,0.66,0.47,0.27,148,115,0.1,satan
206,tcp,http,S0,7970,8032,1,2,0,5,5,1,10,70,0.57,0.42,0.03,8,237,0.12,buffer_overflow
258,icmp,http,REJ,614,1678,0,3,1,4,5,1,67,5,0.9,0.06,0.58,197,228,0.78,guess_passwd
696,tcp,dns,S0,196,6589,0,3,1,5,3,1,53,95,0.44,0.78,0.63,18,172,0.72,buffer_overflow
110,udp,telnet,REJ,6244,2856,1,3,1,4,0,1,79,86,0.75,0.87,0.16,92,206,0.58,nmap
324,udp,ftp,S0,2349,9541,0,3,2,3,3,0,71,25,0.68,0.36,0.67,220,113,0.78,buffer_overflow
747,udp,http,S0,4930,5506,1,1,2,2,5,1,66,97,0.47,0.34,0.67,116,133,0.69,neptune
129,udp,http,SF,798,7261,1,1,1,4,5,1,5,68,0.24,0.73,0.05,133,92,0.52,guess_passwd
980,udp,dns,RSTR,5440,3724,0,3,2,1,1,1,61,83,0.12,0.75,0.1,19,157,0.82,nmap
605,udp,dns,SF,5142,5784,1,0,3,1,3,1,72,79,0.86,0.35,0.07,89,113,0.92,normal
363,icmp,telnet,S0,3997,8994,0,2,3,0,4,0,60,100,0.6,0.24,0.16,67,187,0.78,satan
410,icmp,http,REJ,4848,487,1,1,3,5,1,0,98,7,0.62,0.11,0.47,255,206,0.09,smurf
442,udp,http,RSTR,9588,1992,0,0,1,5,5,1,35,67,0.46,0.73,0.64,176,52,0.28,neptune
857,udp,dns,REJ,8220,5265,1,0,2,2,0,0,87,26,0.91,0.75,0.01,79,133,0.03,teardrop
144,udp,dns,REJ,4726,9918,0,0,0,5,4,1,88,76,0.12,0.17,0.77,201,189,0.4,satan
547,tcp,ftp,REJ,6793,4008,0,2,0,2,5,0,57,39,0.36,0.32,0.19,139,102,0.49,portsweep
247,tcp,http,SF,8996,2823,1,3,0,5,4,1,100,68,0.31,0.45,0.88,116,104,0.52,guess_passwd
851,icmp,ftp,S0,9753,1646,1,1,0,3,0,0,16,75,1.0,0.1,0.07,157,186,0.39,warezclient
458,icmp,telnet,S0,5056,7677,1,2,0,5,0,1,14,54,0.41,0.7,0.67,17,7,0.56,guess_passwd
579,icmp,dns,REJ,8734,9539,1,2,1,3,5,0,10,3,0.87,0.35,0.83,11,202,0.68,smurf
207,tcp,http,S0,1822,8602,0,2,1,4,4,0,93,44,0.16,0.65,0.68,12,41,0.83,guess_passwd
872,icmp,http,S0,6225,3597,0,2,3,3,5,0,1,20,0.84,0.58,0.53,20,162,0.74,nmap
941,udp,ftp,REJ,8427,4799,0,3,1,0,5,1,80,75,0.66,0.45,0.8,64,10,0.47,guess_passwd
760,udp,ftp,S0,5031,8646,1,1,0,4,5,0,83,89,0.85,0.31,0.69,193,213,0.3,buffer_overflow
715,tcp,dns,REJ,1821,215,1,1,3,1,2,0,61,95,0.94,0.98,0.77,151,223,0.43,teardrop
398,tcp,ftp,REJ,2743,8367,1,1,2,3,5,0,72,91,0.77,0.13,0.19,123,149,0.45,smurf
309,tcp,telnet,S0,7849,9814,1,0,3,4,3,0,17,100,0.09,0.0,0.11,77,8,0.72,warezclient
873,tcp,telnet,SF,2087,9519,0,0,1,3,1,0,74,56,0.33,0.9,0.2,172,101,0.1,nmap
668,udp,http,RSTR,7047,266,0,2,0,3,1,1,47,71,0.47,0.27,0.01,56,168,0.31,guess_passwd
777,tcp,dns,RSTR,5276,4338,1,3,0,1,2,0,96,45,0.75,0.12,0.04,40,215,0.12,nmap
34,tcp,telnet,REJ,2473,7769,0,0,1,2,2,0,31,8,0.38,0.51,0.92,127,116,0.39,satan
760,icmp,http,S0,2344,9724,0,1,0,2,2,0,43,24,0.37,0.15,0.74,237,221,0.77,teardrop
273,udp,dns,REJ,3156,9402,0,0,1,5,5,0,72,57,0.82,0.6,0.01,104,88,0.02,teardrop
956,icmp,telnet,S0,8532,2589,0,2,1,3,4,0,41,80,0.91,0.52,0.41,201,113,0.28,normal
146,tcp,http,S0,3927,3290,1,3,1,4,1,0,92,80,0.99,0.17,0.85,57,69,0.95,warezclient
843,udp,dns,RSTR,9257,9541,0,2,2,4,5,0,36,10,0.88,0.5,0.13,144,88,0.77,smurf
608,tcp,dns,REJ,2228,6205,1,2,2,2,5,1,0,51,0.85,0.59,0.32,181,242,0.01,normal
830,icmp,dns,REJ,9055,401,1,2,3,4,4,0,11,16,0.03,0.63,0.31,62,225,0.95,buffer_overflow
26,udp,http,RSTR,950,6632,1,2,0,2,3,1,69,38,0.97,0.79,0.81,13,124,0.41,guess_passwd
783,icmp,ftp,RSTR,8896,7175,0,0,2,2,2,1,59,74,0.61,0.73,0.78,66,187,0.93,normal
851,icmp,http,RSTR,6697,3028,1,1,1,5,4,0,27,49,0.12,0.84,0.65,211,84,0.77,portsweep
891,icmp,ftp,RSTR,5984,1084,1,0,2,2,3,0,75,26,0.83,0.73,0.84,217,88,0.83,warezclient
346,icmp,dns,SF,9551,2453,1,3,1,1,0,0,22,52,0.2,0.85,0.34,114,80,0.14,portsweep
485,udp,http,REJ,7061,6098,0,2,3,4,0,0,80,31,0.26,0.3,0.19,229,187,0.42,normal
298,udp,ftp,RSTR,2208,2206,0,0,2,3,2,0,88,71,0.63,0.2,0.69,20,143,0.74,normal
132,udp,ftp,S0,3293,6695,0,0,0,0,0,0,75,28,0.56,0.22,0.5,18,72,0.31,buffer_overflow
242,udp,telnet,SF,877,5359,0,2,1,1,4,1,68,93,0.53,0.89,0.92,22,219,0.04,buffer_overflow
500,icmp,dns,SF,2454,2851,1,1,3,1,4,1,6,5,0.77,0.65,0.27,131,134,0.01,warezclient
25,udp,ftp,REJ,9651,8111,1,3,0,4,2,1,16,68,0.86,0.1,0.26,53,192,0.44,buffer_overflow
438,icmp,telnet,RSTR,2611,9264,1,3,3,0,2,0,34,87,0.56,0.2,0.66,83,161,0.87,neptune
217,icmp,dns,REJ,8723,6125,0,0,1,2,2,0,79,0,0.21,0.84,0.58,187,20,0.71,satan
518,icmp,telnet,REJ,1039,4902,1,0,1,4,5,0,14,81,0.45,0.73,0.91,12,54,0.35,buffer_overflow
336,udp,telnet,S0,2952,643,1,0,2,3,0,0,76,79,0.33,0.45,0.02,145,170,0.77,smurf
594,tcp,dns,S0,4455,9048,1,2,1,5,4,0,32,10,0.67,1.0,0.96,191,180,0.4,neptune
69,tcp,dns,S0,6208,532,0,1,3,5,0,0,27,70,0.74,0.9,0.97,187,169,0.33,normal
8,icmp,dns,RSTR,6581,8216,0,3,2,0,1,0,80,78,0.69,0.43,0.78,78,84,0.8,satan
55,udp,telnet,SF,8580,5160,0,0,0,5,3,1,14,22,0.51,0.01,0.65,115,143,0.27,portsweep
524,udp,telnet,RSTR,2639,5533,0,3,1,3,1,0,43,58,0.71,0.21,0.1,204,113,0.4,portsweep
185,icmp,telnet,SF,484,8819,0,2,3,0,5,1,37,13,0.29,0.31,0.14,5,84,0.91,warezclient
529,icmp,dns,SF,5194,1454,0,1,1,4,4,1,31,70,0.95,0.9,0.51,201,99,0.47,teardrop
306,udp,ftp,S0,9137,177,1,0,1,1,0,1,40,90,0.05,0.22,0.94,81,132,0.07,smurf
252,tcp,telnet,RSTR,1977,4999,0,3,0,3,2,0,22,64,0.94,0.64,0.51,244,22,0.48,normal
700,icmp,dns,RSTR,8492,4182,0,2,3,0,5,0,28,80,0.35,0.56,0.48,214,88,0.35,teardrop
81,tcp,ftp,RSTR,2439,4032,0,0,0,5,4,0,86,94,0.64,0.44,0.29,17,138,0.9,nmap
365,icmp,telnet,REJ,9837,5079,0,0,0,0,1,1,73,74,0.05,0.74,0.23,20,71,0.92,buffer_overflow
898,icmp,ftp,SF,1909,7824,1,3,1,4,5,0,70,51,0.82,0.0,0.95,136,134,0.26,smurf
205,tcp,telnet,RSTR,7506,3122,0,1,0,4,2,1,45,47,0.16,0.47,0.68,255,29,0.49,nmap
64,udp,telnet,RSTR,5391,6432,0,3,0,5,0,1,90,82,0.84,0.14,0.2,173,191,0.06,portsweep
263,udp,ftp,SF,4996,4018,1,3,1,0,2,1,25,29,0.81,0.97,0.65,30,221,0.02,guess_passwd
123,icmp,dns,SF,690,7979,0,0,3,0,3,0,87,47,0.3,0.65,0.0,66,130,0.58,teardrop
722,icmp,dns,S0,4915,7052,0,3,0,2,3,1,45,12,0.46,0.24,0.74,78,216,0.58,satan
938,udp,http,SF,8095,315,0,1,2,2,2,1,31,26,0.68,0.55,0.68,234,17,0.7,portsweep
624,icmp,dns,RSTR,9127,5591,1,1,3,1,1,1,20,88,0.43,0.45,0.7,4,166,0.32,normal
794,icmp,http,REJ,5633,983,1,2,2,0,3,1,33,10,0.04,0.33,0.78,183,174,0.96,nmap
496,icmp,telnet,SF,8295,1058,1,0,0,2,3,1,89,11,0.68,0.31,0.9,23,28,0.83,buffer_overflow
736,udp,http,S0,8969,4873,0,1,1,5,1,1,4,29,0.84,0.52,0.72,143,44,0.98,satan
499,udp,http,S0,821,2567,0,0,2,3,5,0,46,22,0.52,0.73,0.84,86,173,0.88,guess_passwd
9,icmp,http,REJ,7324,6010,0,0,0,2,0,1,72,91,0.8,0.1,0.24,239,205,0.69,neptune
889,tcp,http,SF,2922,8635,0,0,3,5,1,1,64,40,0.95,0.91,0.33,181,167,0.48,warezclient
542,udp,telnet,SF,3305,9288,0,0,2,3,1,0,19,59,0.53,0.4,0.33,174,242,0.86,portsweep
417,icmp,telnet,S0,8970,8077,1,1,2,4,1,1,76,32,0.19,0.09,0.26,148,56,0.28,neptune
906,tcp,telnet,S0,4317,6732,0,3,2,3,3,0,18,99,0.61,0.95,1.0,247,81,0.34,normal
644,tcp,dns,RSTR,3568,6102,0,0,1,3,0,0,73,71,0.27,0.36,0.18,194,166,0.49,warezclient
220,tcp,ftp,RSTR,7953,5742,1,0,0,2,3,0,53,42,0.89,0.58,0.58,136,48,0.48,teardrop
410,icmp,dns,RSTR,6086,8365,0,2,2,2,3,1,98,96,0.66,0.37,0.24,187,200,0.45,warezclient
928,tcp,dns,SF,6619,1879,1,2,1,2,2,1,95,87,0.86,0.43,0.66,139,116,0.07,nmap
830,udp,telnet,RSTR,2210,4632,0,3,3,1,5,0,48,74,0.03,0.06,0.23,92,41,0.36,teardrop
690,tcp,telnet,RSTR,5103,2540,0,0,3,3,2,1,59,21,0.39,0.89,0.92,240,251,0.34,nmap
441,icmp,http,SF,2855,8410,0,0,1,2,3,1,92,5,0.07,0.32,0.95,247,176,0.04,normal
304,tcp,http,SF,4253,2481,0,2,0,2,4,1,23,91,0.46,0.1,0.38,126,238,0.84,neptune
927,udp,telnet,S0,6292,4473,0,2,1,1,2,0,37,56,0.52,0.26,0.93,11,124,0.96,portsweep
950,tcp,ftp,REJ,979,9811,0,3,0,2,4,1,21,58,0.03,0.39,0.64,216,151,0.11,normal
732,icmp,telnet,S0,3263,2049,0,3,1,5,1,0,14,18,0.78,0.79,0.15,147,124,0.14,nmap
90,tcp,ftp,REJ,108,3893,0,2,3,0,1,0,99,91,0.96,0.24,0.9,33,0,0.02,nmap
307,tcp,dns,S0,8107,5586,1,2,1,4,5,1,17,67,0.07,0.84,0.83,35,49,0.27,guess_passwd
498,icmp,ftp,RSTR,8408,4558,0,0,2,0,1,1,1,92,0.76,0.94,0.06,183,107,0.99,smurf
792,icmp,ftp,S0,8027,5301,1,1,3,1,4,1,50,53,0.5,0.14,0.49,10,244,0.63,normal
749,tcp,http,SF,1601,4563,0,3,1,5,2,0,40,8,0.57,0.63,0.71,211,186,0.47,smurf
536,udp,http,S0,8885,5023,1,3,2,0,1,1,46,69,0.68,0.97,0.0,78,156,0.41,warezclient
373,icmp,telnet,REJ,2615,9636,0,3,1,1,4,1,3,62,0.97,0.5,0.73,157,59,0.97,nmap
928,tcp,http,REJ,321,2597,1,3,2,0,5,1,65,72,0.42,0.05,0.95,83,32,0.46,nmap
531,tcp,http,RSTR,9914,1752,0,2,1,5,2,1,15,83,0.25,0.43,0.55,149,52,0.82,portsweep
430,tcp,dns,SF,9347,6698,1,2,1,4,4,1,25,66,0.78,0.4,0.32,82,236,0.96,teardrop
202,tcp,telnet,S0,1722,2896,1,2,3,4,3,0,44,73,0.61,0.52,0.69,1,117,0.45,neptune
285,icmp,ftp,REJ,251,7599,1,1,1,4,3,1,12,28,0.46,0.67,0.2,98,2,0.29,satan
181,icmp,telnet,RSTR,6732,6014,1,1,3,2,4,1,12,78,0.48,0.92,0.05,226,192,0.65,satan
32,icmp,http,RSTR,6579,6967,0,0,3,3,4,0,0,55,0.71,0.29,0.54,176,178,0.71,guess_passwd
469,tcp,dns,S0,4712,3423,1,2,3,3,5,1,12,27,0.83,0.29,0.71,34,150,0.95,teardrop
